                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84856,                 1.6445,                 2.3904,                 1.3073,                      1,                0.58197,                  0.995,                0.83899,                      1,                0.58197,                  0.995,                0.91864,                0.65638,                 1.2854,                 2.5679,                0.99469,                0.00056,                0.00056,                0.00056
                      2,                0.70039,                 0.7447,                 1.4854,                 1.1689,                 0.9765,                0.90323,                0.98093,                 0.8154,                 0.9765,                0.90323,                0.98093,                0.89865,                0.63329,                 1.0068,                 1.7791,                 1.0726,              0.0010271,              0.0010271,              0.0010271
                      3,                0.63677,                 0.6813,                 1.2575,                 1.0919,                0.96598,                      1,                0.98906,                 0.8065,                0.96598,                      1,                0.98906,                0.92096,                0.65985,                0.88114,                 1.1688,                 1.0683,              0.0013794,              0.0013794,              0.0013794
                      4,                 0.6268,                0.61974,                 1.1247,                 1.0814,                0.95884,                0.87097,                0.96734,                0.76812,                0.95884,                0.87097,                0.96734,                0.85621,                0.77135,                 1.1936,                 1.1421,                 1.0779,               0.001406,               0.001406,               0.001406
                      5,                 0.6142,                0.58266,                 0.9769,                 1.0585,                0.99602,                      1,                  0.995,                 0.8902,                0.99602,                      1,                  0.995,                0.90849,                0.48089,                0.85776,                0.90052,                0.84832,               0.001208,               0.001208,               0.001208
                      6,                0.57986,                0.61772,                0.88829,                 1.0476,                 0.9529,                      1,                   0.99,                0.88214,                 0.9529,                      1,                   0.99,                0.95956,                0.48834,                0.62285,                0.98609,                0.86145,                0.00101,                0.00101,                0.00101
                      7,                0.49625,                0.50354,                0.73754,                0.97865,                0.99825,                      1,                  0.995,                0.91316,                0.99825,                      1,                  0.995,                0.91235,                0.64669,                0.93436,                0.64355,                 1.0115,               0.000812,               0.000812,               0.000812
                      8,                0.45623,                0.48438,                0.65142,                0.94137,                0.99782,                      1,                  0.995,                0.92351,                0.99782,                      1,                  0.995,                0.96645,                0.33249,                0.51623,                0.50809,                0.77628,               0.000614,               0.000614,               0.000614
                      9,                0.42321,                0.45332,                 0.6061,                0.92403,                0.99822,                      1,                  0.995,                 0.9409,                0.99822,                      1,                  0.995,                0.97126,                0.35156,                  0.507,                 0.4336,                0.77583,               0.000416,               0.000416,               0.000416
                     10,                0.39755,                0.44273,                0.57756,                0.90301,                0.99815,                      1,                  0.995,                0.95012,                0.99815,                      1,                  0.995,                0.97112,                0.32899,                0.48514,                 0.3828,                0.77798,               0.000218,               0.000218,               0.000218
