                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83201,                  1.537,                  1.824,                 1.1689,                      1,                0.88602,                  0.995,                0.80684,                      1,                0.88602,                  0.995,                0.89173,                 0.6131,                0.78461,                 2.2746,                 1.0213,                0.00056,                0.00056,                0.00056
                      2,                0.73134,                0.85446,                 1.0985,                 1.0628,                0.81872,                0.87097,                0.86403,                0.53869,                0.86412,                0.93548,                0.92698,                0.71926,                 1.0424,                 1.8529,                 1.9346,                 1.4305,              0.0011024,              0.0011024,              0.0011024
                      3,                0.70818,                0.82892,                0.99118,                 1.0544,                0.99737,                0.93548,                0.96652,                0.76479,                0.99737,                0.93548,                0.96652,                0.83058,                0.78173,                 2.5195,                 1.2395,                 1.2928,              0.0016065,              0.0016065,              0.0016065
                      4,                0.71334,                 0.7436,                0.89072,                  1.056,                0.99981,                0.93548,                0.97081,                0.71213,                0.99981,                0.93548,                0.97081,                0.81564,                 1.2861,                 1.3376,                 1.3697,                 1.9158,               0.001802,               0.001802,               0.001802
                      5,                0.67684,                0.78191,                0.77553,                 1.0307,                0.81203,                      1,                 0.9693,                0.81183,                0.85281,                0.93548,                0.94341,                0.77446,                0.55909,                 2.5616,                 1.0883,                  1.019,               0.001736,               0.001736,               0.001736
                      6,                0.69188,                0.78141,                 0.7361,                 1.0436,                0.99079,                      1,                  0.995,                0.68394,                0.99079,                      1,                  0.995,                0.93424,                0.88165,                0.71697,                 1.0903,                 1.1937,                0.00167,                0.00167,                0.00167
                      7,                0.64073,                0.72494,                0.65367,                 1.0013,                0.84027,                0.93548,                0.95694,                0.79903,                0.84027,                0.93548,                0.95694,                0.89661,                 0.6675,                0.63293,                0.90307,                 1.0014,               0.001604,               0.001604,               0.001604
                      8,                 0.6158,                0.70702,                0.61994,                 0.9966,                0.99766,                      1,                  0.995,                0.90249,                0.99766,                      1,                  0.995,                0.94675,                0.57414,                0.84997,                0.51891,                0.88477,               0.001538,               0.001538,               0.001538
                      9,                0.62806,                0.71156,                0.59828,                 1.0096,                 0.9553,                0.96774,                0.99235,                0.84233,                 0.9553,                0.96774,                0.99235,                0.89128,                0.48429,                0.71865,                0.52682,                0.87669,               0.001472,               0.001472,               0.001472
                     10,                0.59995,                0.67736,                0.54457,                0.99372,                0.99741,                      1,                  0.995,                0.93248,                0.99741,                      1,                  0.995,                  0.949,                0.45996,                0.62053,                0.49176,                0.83789,               0.001406,               0.001406,               0.001406
                     11,                0.55642,                 0.6378,                0.50587,                0.96999,                 0.9972,                      1,                  0.995,                0.91889,                 0.9972,                      1,                  0.995,                0.96791,                0.36578,                0.56276,                0.38095,                0.81449,                0.00134,                0.00134,                0.00134
                     12,                0.52061,                0.63318,                0.46421,                  0.949,                0.96246,                      1,                0.99125,                0.88963,                0.96246,                      1,                0.99125,                0.95855,                 0.4557,                0.55069,                 0.4027,                0.86841,               0.001274,               0.001274,               0.001274
                     13,                0.54008,                0.66031,                0.48642,                0.97383,                0.99741,                      1,                  0.995,                0.89219,                0.99741,                      1,                  0.995,                0.95118,                0.40318,                0.52457,                0.38632,                0.83696,               0.001208,               0.001208,               0.001208
                     14,                0.51978,                0.57607,                 0.4607,                0.96229,                 0.9972,                      1,                  0.995,                0.91336,                 0.9972,                      1,                  0.995,                0.94906,                0.42099,                0.50012,                0.39906,                0.82371,               0.001142,               0.001142,               0.001142
                     15,                0.52558,                0.63255,                0.43442,                 0.9583,                0.99826,                      1,                  0.995,                0.89667,                0.99826,                      1,                  0.995,                0.94319,                0.40238,                0.52702,                0.31064,                0.80739,               0.001076,               0.001076,               0.001076
                     16,                0.50474,                0.60548,                0.43031,                0.95781,                0.99821,                      1,                  0.995,                0.89767,                0.99821,                      1,                  0.995,                0.95059,                0.61086,                0.88125,                0.36386,                0.98398,                0.00101,                0.00101,                0.00101
                     17,                0.49271,                0.57196,                 0.4089,                0.94477,                0.99793,                      1,                  0.995,                0.90054,                0.99793,                      1,                  0.995,                0.96461,                0.55009,                0.47738,                0.36265,                0.89828,               0.000944,               0.000944,               0.000944
                     18,                0.48391,                0.57687,                0.40691,                0.93775,                0.99867,                      1,                  0.995,                0.93161,                0.99867,                      1,                  0.995,                0.96199,                0.35067,                0.44142,                0.29443,                0.80416,               0.000878,               0.000878,               0.000878
                     19,                0.45964,                0.56042,                0.36639,                0.93707,                0.99857,                0.96774,                0.99318,                0.91547,                0.99857,                0.96774,                0.99318,                0.96667,                0.34666,                0.45404,                0.28053,                0.76969,               0.000812,               0.000812,               0.000812
                     20,                0.45417,                0.55616,                 0.3645,                0.92956,                0.99771,                      1,                  0.995,                0.94311,                0.99771,                      1,                  0.995,                0.97118,                0.32158,                 0.4873,                0.23902,                0.76105,               0.000746,               0.000746,               0.000746
                     21,                0.37001,                0.41525,                 0.3444,                0.90061,                0.99824,                      1,                  0.995,                0.92623,                0.99824,                      1,                  0.995,                0.96651,                0.39011,                0.44919,                0.27474,                0.78674,                0.00068,                0.00068,                0.00068
                     22,                0.39012,                0.40665,                0.34377,                0.90132,                 0.9981,                      1,                  0.995,                0.93147,                 0.9981,                      1,                  0.995,                0.98087,                0.34707,                0.41421,                0.26479,                0.77502,               0.000614,               0.000614,               0.000614
                     23,                0.36129,                0.40464,                0.31895,                 0.8809,                0.99787,                      1,                  0.995,                  0.927,                0.99787,                      1,                  0.995,                0.97377,                0.35855,                0.42003,                0.31425,                0.79441,               0.000548,               0.000548,               0.000548
                     24,                0.35166,                 0.3721,                0.30849,                0.88818,                0.99784,                      1,                  0.995,                 0.9321,                0.99784,                      1,                  0.995,                0.98314,                0.36915,                  0.417,                0.23806,                0.78567,               0.000482,               0.000482,               0.000482
                     25,                0.33677,                0.37374,                0.27859,                0.87185,                0.99826,                      1,                  0.995,                 0.9509,                0.99826,                      1,                  0.995,                0.96981,                0.34094,                0.41058,                0.21441,                0.77037,               0.000416,               0.000416,               0.000416
                     26,                0.32978,                0.37924,                0.28201,                0.87814,                0.99833,                      1,                  0.995,                 0.9728,                0.99833,                      1,                  0.995,                0.97635,                0.30564,                0.41381,                0.20905,                0.76433,                0.00035,                0.00035,                0.00035
                     27,                0.31146,                 0.3587,                0.26892,                0.85063,                0.99828,                      1,                  0.995,                0.95081,                0.99828,                      1,                  0.995,                0.97944,                0.29846,                0.41193,                0.20163,                0.75565,               0.000284,               0.000284,               0.000284
                     28,                0.29319,                0.34652,                0.24362,                0.84785,                0.99827,                      1,                  0.995,                0.95214,                0.99827,                      1,                  0.995,                0.97824,                0.31807,                0.39757,                0.23694,                0.75802,               0.000218,               0.000218,               0.000218
                     29,                0.28255,                0.35912,                0.24658,                0.84548,                 0.9983,                      1,                  0.995,                0.96274,                 0.9983,                      1,                  0.995,                0.98408,                0.30205,                0.39559,                0.19265,                0.74533,               0.000152,               0.000152,               0.000152
                     30,                0.27574,                0.35433,                 0.2382,                0.83542,                0.99828,                      1,                  0.995,                0.97497,                0.99828,                      1,                  0.995,                0.98114,                0.29184,                0.38649,                0.18076,                0.74628,                8.6e-05,                8.6e-05,                8.6e-05
